Plant_height,Days_to_heading,Yield_per_plant,Thousand-grain_weight,Number_of_tillers,Effective_tillers,Panicle_length,Total_spikelets,Seed_setting_rate,Number_of_spikelets_per_panicle,Grain_length,Grain_width
122.80 ,74.40 ,8.70 ,23.70 ,8.30 ,8.00 ,24.90 ,809.00 ,0.45 ,97.10 ,7.99 ,3.23 
96.90 ,92.50 ,7.00 ,20.10 ,10.00 ,6.40 ,23.40 ,1220.70 ,0.27 ,122.10 ,7.43 ,2.84 
112.60 ,74.40 ,6.60 ,25.20 ,5.30 ,5.60 ,24.00 ,527.30 ,0.43 ,98.90 ,7.50 ,3.23 
123.50 ,82.30 ,21.50 ,25.30 ,9.70 ,7.80 ,22.30 ,1831.30 ,0.48 ,189.40 ,7.33 ,2.55 
115.00 ,75.50 ,8.20 ,29.00 ,7.70 ,6.20 ,24.10 ,587.30 ,0.49 ,76.60 ,8.22 ,3.49 
116.10 ,73.40 ,15.70 ,27.90 ,15.70 ,10.40 ,22.40 ,1066.70 ,0.52 ,68.10 ,8.17 ,3.33 
104.60 ,75.50 ,11.20 ,24.20 ,15.00 ,7.20 ,23.00 ,855.30 ,0.53 ,57.00 ,8.49 ,3.11 
100.70 ,78.50 ,20.00 ,20.10 ,11.00 ,8.40 ,21.80 ,1620.00 ,0.63 ,147.30 ,8.33 ,2.29 
115.30 ,75.40 ,8.70 ,29.20 ,5.70 ,4.80 ,26.50 ,533.70 ,0.55 ,94.20 ,8.57 ,3.21 
104.70 ,75.40 ,9.80 ,24.10 ,9.70 ,5.40 ,23.30 ,764.30 ,0.55 ,79.10 ,8.07 ,2.97 
105.20 ,78.50 ,11.00 ,26.80 ,15.00 ,6.60 ,25.50 ,667.30 ,0.63 ,44.50 ,8.58 ,3.01 
133.00 ,71.50 ,13.30 ,30.30 ,7.30 ,7.80 ,23.70 ,586.00 ,0.74 ,79.90 ,8.75 ,2.88 
92.50 ,84.50 ,19.40 ,22.00 ,7.30 ,4.40 ,28.80 ,1850.70 ,0.42 ,NA,8.08 ,2.57 
117.30 ,78.40 ,10.20 ,27.20 ,9.70 ,5.60 ,25.70 ,684.70 ,0.57 ,70.80 ,9.45 ,2.97 
120.40 ,75.50 ,11.20 ,29.00 ,10.30 ,9.60 ,24.70 ,782.70 ,0.51 ,75.70 ,8.40 ,3.34 
118.70 ,75.50 ,9.70 ,28.20 ,11.00 ,7.80 ,28.00 ,706.00 ,0.49 ,64.20 ,8.24 ,3.43 
139.60 ,75.50 ,13.40 ,23.90 ,8.00 ,6.00 ,27.10 ,1300.00 ,0.42 ,162.50 ,7.74 ,2.47 
121.70 ,80.40 ,16.70 ,28.40 ,14.30 ,6.80 ,26.40 ,1094.70 ,0.55 ,76.40 ,9.53 ,3.10 
112.80 ,78.50 ,10.10 ,27.80 ,12.00 ,5.60 ,23.30 ,697.00 ,0.53 ,58.10 ,9.47 ,2.48 
